block_id,kernel,log_loss,matching,target_delay_s,task,top1_accuracy,trials,centre_s,separation_s
7,physical_headroom_v1,1.5742676796679516,unit_l1,45.0,four_event_interval_attribution,0.046875,64,,
0,physical_headroom_v1,0.6630175244520692,unit_l1,,two_cue_temporal_order,0.46875,64,10.0,2.0
1,physical_headroom_v1,0.6027116318197653,unit_l1,,two_cue_temporal_order,1.0,64,10.0,6.0
2,physical_headroom_v1,0.5403944585042912,unit_l1,,two_cue_temporal_order,1.0,64,10.0,10.0
3,physical_headroom_v1,0.7034786342681512,unit_l1,,two_cue_temporal_order,0.4375,64,20.0,2.0
4,physical_headroom_v1,0.687427608933185,unit_l1,,two_cue_temporal_order,0.59375,64,20.0,6.0
5,physical_headroom_v1,0.6968223365705813,unit_l1,,two_cue_temporal_order,0.5,64,20.0,10.0
6,physical_headroom_v1,0.7270707664032423,unit_l1,,two_cue_temporal_order,0.34375,64,30.0,2.0
7,physical_headroom_v1,0.7510347488228442,unit_l1,,two_cue_temporal_order,0.390625,64,30.0,6.0
8,physical_headroom_v1,0.7561276000564621,unit_l1,,two_cue_temporal_order,0.0,64,30.0,10.0
9,physical_headroom_v1,0.703441547941524,unit_l1,,two_cue_temporal_order,0.546875,64,40.0,2.0
10,physical_headroom_v1,0.7429337101443204,unit_l1,,two_cue_temporal_order,0.453125,64,40.0,6.0
11,physical_headroom_v1,0.7700684970259932,unit_l1,,two_cue_temporal_order,0.0,64,40.0,10.0
0,linear_erlang_v1,1.1691872113264643,unit_l1,2.5,four_event_interval_attribution,0.65625,64,,
1,linear_erlang_v1,1.019393261038104,unit_l1,7.5,four_event_interval_attribution,0.890625,64,,
2,linear_erlang_v1,1.288640569673881,unit_l1,12.5,four_event_interval_attribution,0.578125,64,,
3,linear_erlang_v1,1.4483835993201497,unit_l1,17.5,four_event_interval_attribution,0.34375,64,,
4,linear_erlang_v1,1.4762273597310132,unit_l1,22.5,four_event_interval_attribution,0.359375,64,,
5,linear_erlang_v1,1.4897086818219953,unit_l1,27.5,four_event_interval_attribution,0.140625,64,,
6,linear_erlang_v1,1.4905568808064185,unit_l1,35.0,four_event_interval_attribution,0.046875,64,,
7,linear_erlang_v1,1.4850392659329632,unit_l1,45.0,four_event_interval_attribution,0.0,64,,
