amplitude,bias,candidate,held_out_group,nrmse,offset,trial
4.2664985855976505e-07,1.4,linear_k5,1.4,0.06456719591627966,2.2531437140538647e-07,3
2.5956610493214683e-07,1.5,kww,1.5,0.0778428991822506,1.944391959534786e-07,1
2.649274461969493e-07,1.5,kww,1.5,0.08250161552228222,1.9344769759612007e-07,2
2.652254647421158e-07,1.5,kww,1.5,0.0862176523586577,1.9356610058177658e-07,3
9.247636364677062e-08,1.5,physical_k2,1.5,0.1495439272979327,1.313307122321908e-07,1
8.268114670606762e-08,1.5,physical_k2,1.5,0.15475793993581094,1.4007773277754954e-07,2
9.227865201912142e-08,1.5,physical_k2,1.5,0.15675887346526812,1.3124851863429635e-07,3
8.550542478025365e-08,1.5,physical_k3,1.5,0.14957647794880286,1.3294020720248194e-07,1
7.634618933182478e-08,1.5,physical_k3,1.5,0.1547845021023869,1.4161887789837008e-07,2
8.525700551667063e-08,1.5,physical_k3,1.5,0.15679075510834137,1.3292029710225365e-07,3
8.332659213492464e-08,1.5,physical_k4,1.5,0.1496174406341838,1.3509364997802736e-07,1
7.422713881950903e-08,1.5,physical_k4,1.5,0.15481839584594098,1.4371463991355092e-07,2
8.301481089276052e-08,1.5,physical_k4,1.5,0.1568307842023884,1.3513705519899188e-07,3
8.058443027337663e-08,1.5,physical_k5,1.5,0.14966400369915533,1.3781099777277236e-07,1
7.156038728317264e-08,1.5,physical_k5,1.5,0.15485697392393052,1.4635844200723783e-07,2
8.018453716788889e-08,1.5,physical_k5,1.5,0.15687648143462296,1.379422307404639e-07,3
2.6862762903938726e-07,1.5,linear_k2,1.5,0.08117176617696088,1.9546198149440902e-07,1
2.7410396522882355e-07,1.5,linear_k2,1.5,0.08583676557021416,1.944998002021192e-07,2
2.742097560551611e-07,1.5,linear_k2,1.5,0.08957630366955194,1.9464066582247532e-07,3
2.657901903963386e-07,1.5,linear_k3,1.5,0.07963928824126135,1.950872538587564e-07,1
2.712043484850254e-07,1.5,linear_k3,1.5,0.08432806609584173,1.941169976833559e-07,2
2.7138877212026596e-07,1.5,linear_k3,1.5,0.08806194396600595,1.94248928066917e-07,3
2.632975104704255e-07,1.5,linear_k4,1.5,0.0785997300108744,1.9477566718608658e-07,1
2.686805573388031e-07,1.5,linear_k4,1.5,0.0832869842314538,1.9379652625513561e-07,2
2.689294279818817e-07,1.5,linear_k4,1.5,0.08701192091705022,1.9392119357161512e-07,3
2.6076228727421167e-07,1.5,linear_k5,1.5,0.07803691698117016,1.945449018435684e-07,1
2.661207111405943e-07,1.5,linear_k5,1.5,0.08270985436980796,1.9355799974611682e-07,2
2.664136248529784e-07,1.5,linear_k5,1.5,0.08642549140646037,1.9367766959700763e-07,3
