model_id,cascade_depth,voltage_v,tau_leak_s,retention_id,retention_source,tau_r_s,preferred_lag_s
linear_erlang_v1,3,0.9,10.0,synthetic_10s,declared synthetic operating point,10.662508845643279,5.3500000000000005
linear_erlang_v1,3,1.1,0.8448946663770562,held_bias_q10,direct held-bias distribution,5.969921286164822,1.3
linear_erlang_v1,3,1.1,1.1669372374932345,held_bias_q25,direct held-bias distribution,5.969921286164822,1.6
linear_erlang_v1,3,1.1,1.3896742156393977,held_bias_q50,direct held-bias distribution,5.969921286164822,1.75
linear_erlang_v1,3,1.1,1.6179662155669912,held_bias_q75,direct held-bias distribution,5.969921286164822,1.9000000000000001
linear_erlang_v1,3,1.1,4.312684718514085,near_zero_device_1,supplementary 1-mV read,5.969921286164822,2.85
linear_erlang_v1,3,1.1,9.1966164265996,near_zero_device_2,supplementary 1-mV read,5.969921286164822,3.35
linear_erlang_v1,3,1.1,10.0,synthetic_10s,declared synthetic operating point,5.969921286164822,3.4000000000000004
linear_erlang_v1,3,1.3,0.8448946663770562,held_bias_q10,direct held-bias distribution,3.3425491766477076,1.05
linear_erlang_v1,3,1.3,1.1669372374932345,held_bias_q25,direct held-bias distribution,3.3425491766477076,1.25
linear_erlang_v1,3,1.3,1.3896742156393977,held_bias_q50,direct held-bias distribution,3.3425491766477076,1.35
linear_erlang_v1,3,1.3,1.6179662155669912,held_bias_q75,direct held-bias distribution,3.3425491766477076,1.4500000000000002
linear_erlang_v1,3,1.3,4.312684718514085,near_zero_device_1,supplementary 1-mV read,3.3425491766477076,1.9000000000000001
linear_erlang_v1,3,1.3,9.1966164265996,near_zero_device_2,supplementary 1-mV read,3.3425491766477076,2.1
linear_erlang_v1,3,1.3,10.0,synthetic_10s,declared synthetic operating point,3.3425491766477076,2.1
linear_erlang_v1,3,1.5,0.8448946663770562,held_bias_q10,direct held-bias distribution,1.8714878241695816,0.8500000000000001
linear_erlang_v1,3,1.5,1.1669372374932345,held_bias_q25,direct held-bias distribution,1.8714878241695816,0.9
linear_erlang_v1,3,1.5,1.3896742156393977,held_bias_q50,direct held-bias distribution,1.8714878241695816,0.9500000000000001
linear_erlang_v1,3,1.5,1.6179662155669912,held_bias_q75,direct held-bias distribution,1.8714878241695816,1.0
linear_erlang_v1,3,1.5,4.312684718514085,near_zero_device_1,supplementary 1-mV read,1.8714878241695816,1.2000000000000002
linear_erlang_v1,3,1.5,9.1966164265996,near_zero_device_2,supplementary 1-mV read,1.8714878241695816,1.25
linear_erlang_v1,3,1.5,10.0,synthetic_10s,declared synthetic operating point,1.8714878241695816,1.3
linear_erlang_v1,4,0.8,0.8448946663770562,held_bias_q10,direct held-bias distribution,14.249669912632424,2.15
linear_erlang_v1,4,0.8,1.1669372374932345,held_bias_q25,direct held-bias distribution,14.249669912632424,2.75
linear_erlang_v1,4,0.8,1.3896742156393977,held_bias_q50,direct held-bias distribution,14.249669912632424,3.1
linear_erlang_v1,4,0.8,1.6179662155669912,held_bias_q75,direct held-bias distribution,14.249669912632424,3.45
linear_erlang_v1,4,0.8,4.312684718514085,near_zero_device_1,supplementary 1-mV read,14.249669912632424,5.95
linear_erlang_v1,4,0.8,9.1966164265996,near_zero_device_2,supplementary 1-mV read,14.249669912632424,7.800000000000001
linear_erlang_v1,4,0.8,10.0,synthetic_10s,declared synthetic operating point,14.249669912632424,8.0
linear_erlang_v1,4,0.9,0.8448946663770562,held_bias_q10,direct held-bias distribution,10.662508845643279,2.0500000000000003
linear_erlang_v1,4,0.9,1.1669372374932345,held_bias_q25,direct held-bias distribution,10.662508845643279,2.5500000000000003
linear_erlang_v1,4,0.9,1.3896742156393977,held_bias_q50,direct held-bias distribution,10.662508845643279,2.85
linear_erlang_v1,4,0.9,1.6179662155669912,held_bias_q75,direct held-bias distribution,10.662508845643279,3.1
linear_erlang_v1,4,0.9,4.312684718514085,near_zero_device_1,supplementary 1-mV read,10.662508845643279,5.050000000000001
linear_erlang_v1,4,0.9,9.1966164265996,near_zero_device_2,supplementary 1-mV read,10.662508845643279,6.300000000000001
linear_erlang_v1,4,0.9,10.0,synthetic_10s,declared synthetic operating point,10.662508845643279,6.4
linear_erlang_v1,4,1.1,0.8448946663770562,held_bias_q10,direct held-bias distribution,5.969921286164822,1.7000000000000002
linear_erlang_v1,4,1.1,1.1669372374932345,held_bias_q25,direct held-bias distribution,5.969921286164822,2.0500000000000003
linear_erlang_v1,4,1.1,1.3896742156393977,held_bias_q50,direct held-bias distribution,5.969921286164822,2.25
linear_erlang_v1,4,1.1,1.6179662155669912,held_bias_q75,direct held-bias distribution,5.969921286164822,2.45
linear_erlang_v1,4,1.1,4.312684718514085,near_zero_device_1,supplementary 1-mV read,5.969921286164822,3.45
linear_erlang_v1,4,1.1,9.1966164265996,near_zero_device_2,supplementary 1-mV read,5.969921286164822,3.95
linear_erlang_v1,4,1.1,10.0,synthetic_10s,declared synthetic operating point,5.969921286164822,4.0
linear_erlang_v1,4,1.3,0.8448946663770562,held_bias_q10,direct held-bias distribution,3.3425491766477076,1.35
linear_erlang_v1,4,1.3,1.1669372374932345,held_bias_q25,direct held-bias distribution,3.3425491766477076,1.55
