condition,seed,eta,aulc
abstract,1000,100.0,0.496
abstract,1001,100.0,0.5084
abstract,1002,100.0,0.5032
abstract,1003,100.0,0.4716
abstract,1004,100.0,0.506
abstract,1005,100.0,0.756
abstract,1006,100.0,0.5028
abstract,1007,100.0,0.5092
abstract,1008,100.0,0.502
abstract,1009,100.0,0.5092
abstract,1010,100.0,0.5056
abstract,1011,100.0,0.504
abstract,1012,100.0,0.4864
abstract,1013,100.0,0.4888
abstract,1014,100.0,0.5072
abstract,1015,100.0,0.4956
abstract,1016,100.0,0.5016
abstract,1017,100.0,0.5036
abstract,1018,100.0,0.4992
abstract,1019,100.0,0.488
