condition,seed,eta,aulc,final_reward
exponential,1016,0.1,0.5033333333333333,0.98
exponential,1017,0.1,0.8433333333333334,1.0
exponential,1018,0.1,0.49333333333333335,0.58
exponential,1019,0.1,0.8,1.0
exponential,1000,0.3,0.17,0.26
exponential,1001,0.3,0.29,0.5
exponential,1002,0.3,0.45,1.0
exponential,1003,0.3,0.11,0.1
exponential,1004,0.3,0.17,0.2
exponential,1005,0.3,0.29333333333333333,0.51
exponential,1006,0.3,0.16666666666666666,0.25
exponential,1007,0.3,0.14666666666666667,0.23
exponential,1008,0.3,0.14,0.25
exponential,1009,0.3,0.21333333333333335,0.26
exponential,1010,0.3,0.15666666666666668,0.23
exponential,1011,0.3,0.5,1.0
exponential,1012,0.3,0.67,1.0
exponential,1013,0.3,0.21666666666666667,0.45
exponential,1014,0.3,0.31333333333333335,0.48
exponential,1015,0.3,0.21,0.24
exponential,1016,0.3,0.23666666666666666,0.36
exponential,1017,0.3,0.19,0.21
exponential,1018,0.3,0.11666666666666667,0.18
exponential,1019,0.3,0.16,0.25
exponential,1000,1.0,0.06666666666666667,0.07
exponential,1001,1.0,0.05333333333333334,0.04
exponential,1002,1.0,0.08666666666666667,0.12
exponential,1003,1.0,0.08666666666666667,0.08
exponential,1004,1.0,0.06333333333333334,0.06
exponential,1005,1.0,0.06333333333333334,0.07
exponential,1006,1.0,0.08333333333333333,0.08
exponential,1007,1.0,0.07333333333333333,0.08
exponential,1008,1.0,0.07,0.06
exponential,1009,1.0,0.09666666666666666,0.2
exponential,1010,1.0,0.07,0.05
exponential,1011,1.0,0.15,0.22
exponential,1012,1.0,0.056666666666666664,0.06
exponential,1013,1.0,0.05333333333333334,0.06
exponential,1014,1.0,0.07,0.12
exponential,1015,1.0,0.1,0.13
exponential,1016,1.0,0.06666666666666667,0.05
exponential,1017,1.0,0.06666666666666667,0.07
exponential,1018,1.0,0.09333333333333334,0.08
exponential,1019,1.0,0.07,0.08
exponential,1000,3.0,0.056666666666666664,0.03
exponential,1001,3.0,0.11,0.1
exponential,1002,3.0,0.043333333333333335,0.06
exponential,1003,3.0,0.06666666666666667,0.09
exponential,1004,3.0,0.07,0.09
exponential,1005,3.0,0.05,0.04
exponential,1006,3.0,0.08,0.05
exponential,1007,3.0,0.05,0.05
exponential,1008,3.0,0.05333333333333334,0.06
exponential,1009,3.0,0.06333333333333334,0.04
exponential,1010,3.0,0.07333333333333333,0.09
exponential,1011,3.0,0.12333333333333334,0.13
exponential,1012,3.0,0.08,0.06
exponential,1013,3.0,0.06,0.06
exponential,1014,3.0,0.06333333333333334,0.08
exponential,1015,3.0,0.05333333333333334,0.06
exponential,1016,3.0,0.056666666666666664,0.09
exponential,1017,3.0,0.06666666666666667,0.03
exponential,1018,3.0,0.056666666666666664,0.04
exponential,1019,3.0,0.05333333333333334,0.07
exponential,1000,10.0,0.056666666666666664,0.03
exponential,1001,10.0,0.11,0.1
exponential,1002,10.0,0.043333333333333335,0.06
exponential,1003,10.0,0.056666666666666664,0.06
exponential,1004,10.0,0.056666666666666664,0.05
exponential,1005,10.0,0.07333333333333333,0.07
exponential,1006,10.0,0.08,0.05
exponential,1007,10.0,0.04,0.02
exponential,1008,10.0,0.05333333333333334,0.06
exponential,1009,10.0,0.06333333333333334,0.07
exponential,1010,10.0,0.07333333333333333,0.09
exponential,1011,10.0,0.12333333333333334,0.13
exponential,1012,10.0,0.08,0.06
exponential,1013,10.0,0.04666666666666667,0.06
exponential,1014,10.0,0.06333333333333334,0.08
exponential,1015,10.0,0.05333333333333334,0.06
exponential,1016,10.0,0.05,0.07
exponential,1017,10.0,0.06666666666666667,0.03
exponential,1018,10.0,0.056666666666666664,0.04
exponential,1019,10.0,0.05333333333333334,0.07
exponential,1000,100.0,0.056666666666666664,0.03
exponential,1001,100.0,0.11,0.1
exponential,1002,100.0,0.043333333333333335,0.06
exponential,1003,100.0,0.056666666666666664,0.06
exponential,1004,100.0,0.06333333333333334,0.04
exponential,1005,100.0,0.07333333333333333,0.07
exponential,1006,100.0,0.08,0.05
exponential,1007,100.0,0.04,0.02
exponential,1008,100.0,0.05333333333333334,0.06
exponential,1009,100.0,0.06333333333333334,0.07
exponential,1010,100.0,0.06,0.08
exponential,1011,100.0,0.12333333333333334,0.13
exponential,1012,100.0,0.08,0.06
exponential,1013,100.0,0.04666666666666667,0.06
exponential,1014,100.0,0.06333333333333334,0.08
exponential,1015,100.0,0.05333333333333334,0.06
