condition,seed,eta,aulc,final_reward
exponential,1016,100.0,0.05,0.07
exponential,1017,100.0,0.06666666666666667,0.03
exponential,1018,100.0,0.056666666666666664,0.04
exponential,1019,100.0,0.05333333333333334,0.07
conventional_rstdp,1000,0.0001,0.09333333333333334,0.06
conventional_rstdp,1001,0.0001,0.06666666666666667,0.07
conventional_rstdp,1002,0.0001,0.056666666666666664,0.08
conventional_rstdp,1003,0.0001,0.06,0.04
conventional_rstdp,1004,0.0001,0.06333333333333334,0.03
conventional_rstdp,1005,0.0001,0.05333333333333334,0.06
conventional_rstdp,1006,0.0001,0.03666666666666667,0.05
conventional_rstdp,1007,0.0001,0.06,0.08
conventional_rstdp,1008,0.0001,0.06,0.07
conventional_rstdp,1009,0.0001,0.06333333333333334,0.05
conventional_rstdp,1010,0.0001,0.06333333333333334,0.08
conventional_rstdp,1011,0.0001,0.07,0.08
conventional_rstdp,1012,0.0001,0.06333333333333334,0.06
conventional_rstdp,1013,0.0001,0.05333333333333334,0.03
conventional_rstdp,1014,0.0001,0.07666666666666666,0.08
conventional_rstdp,1015,0.0001,0.06333333333333334,0.05
conventional_rstdp,1016,0.0001,0.04,0.02
conventional_rstdp,1017,0.0001,0.06666666666666667,0.05
conventional_rstdp,1018,0.0001,0.06,0.04
conventional_rstdp,1019,0.0001,0.07666666666666666,0.09
