cascade_depth,drive_amplitude,duration_s,linear_finite_pulse_peak_s,linear_impulse_peak_s,linear_numerical_peak_s,linear_peak_relative_error,physical_numerical_peak_s,physical_peak_occupancy_fraction,physical_peak_relative_departure,physical_small_signal_peak_s,rho_alpha_tau_leak,tau_leak_s,tau_r_s,v_max,v_max_shape_invariance,voltage_v
4,1.0,0.05,4.882530996229702,4.857488107197131,4.87,0.0025664959913984514,6.01,0.005807973063952617,0.0016666666666666312,6.0,0.2352063180782796,2.0,34.01269177360066,1.0,True,0.5
4,1.0,0.05,4.882530996229702,4.857488107197131,4.87,0.0025664959913984514,6.01,0.005807973063952617,0.0016666666666666312,6.0,0.2352063180782796,2.0,34.01269177360066,2.0,True,0.5
4,1.0,0.3,5.009032016947523,4.857488107197131,5.0,0.0018031461801330095,6.140000000000001,0.0322962201225274,0.023333333333333428,6.0,0.2352063180782796,2.0,34.01269177360066,0.5,True,0.5
4,1.0,0.3,5.009032016947523,4.857488107197131,5.0,0.0018031461801330095,6.140000000000001,0.0322962201225274,0.023333333333333428,6.0,0.2352063180782796,2.0,34.01269177360066,1.0,True,0.5
4,1.0,0.3,5.009032016947523,4.857488107197131,5.0,0.0018031461801330095,6.140000000000001,0.0322962201225274,0.023333333333333428,6.0,0.2352063180782796,2.0,34.01269177360066,2.0,True,0.5
2,1.0,0.05,3.8890179693690268,3.8639640525238086,3.88,0.0023188294423051995,5.01,0.0029249003676567837,0.0019999999999999575,5.0,0.2940078975978495,5.0,34.01269177360066,0.5,True,0.5
2,1.0,0.05,3.8890179693690268,3.8639640525238086,3.88,0.0023188294423051995,5.01,0.0029249003676567837,0.0019999999999999575,5.0,0.2940078975978495,5.0,34.01269177360066,1.0,True,0.5
2,1.0,0.05,3.8890179693690268,3.8639640525238086,3.88,0.0023188294423051995,5.01,0.0029249003676567837,0.0019999999999999575,5.0,0.2940078975978495,5.0,34.01269177360066,2.0,True,0.5
2,1.0,0.3,4.015904869389808,3.8639640525238086,4.01,0.0014703708334369695,5.14,0.016994207796439977,0.027999999999999935,5.0,0.2940078975978495,5.0,34.01269177360066,0.5,True,0.5
2,1.0,0.3,4.015904869389808,3.8639640525238086,4.01,0.0014703708334369695,5.14,0.016994207796439977,0.027999999999999935,5.0,0.2940078975978495,5.0,34.01269177360066,1.0,True,0.5
2,1.0,0.3,4.015904869389808,3.8639640525238086,4.01,0.0014703708334369695,5.14,0.016994207796439977,0.027999999999999935,5.0,0.2940078975978495,5.0,34.01269177360066,2.0,True,0.5
3,1.0,0.05,6.964598231409156,6.939568210354989,6.95,0.002096062245675655,10.01,0.004384771488077782,0.0009999999999999788,10.0,0.44101184639677427,5.0,34.01269177360066,0.5,True,0.5
3,1.0,0.05,6.964598231409156,6.939568210354989,6.95,0.002096062245675655,10.01,0.004384771488077782,0.0009999999999999788,10.0,0.44101184639677427,5.0,34.01269177360066,1.0,True,0.5
3,1.0,0.05,6.964598231409156,6.939568210354989,6.95,0.002096062245675655,10.01,0.004384771488077782,0.0009999999999999788,10.0,0.44101184639677427,5.0,34.01269177360066,2.0,True,0.5
3,1.0,0.3,7.090648935578094,6.939568210354989,7.08,0.0015018280660690584,10.13,0.025384109124028345,0.013000000000000077,10.0,0.44101184639677427,5.0,34.01269177360066,0.5,True,0.5
3,1.0,0.3,7.090648935578094,6.939568210354989,7.08,0.0015018280660690584,10.13,0.025384109124028345,0.013000000000000077,10.0,0.44101184639677427,5.0,34.01269177360066,1.0,True,0.5
3,1.0,0.3,7.090648935578094,6.939568210354989,7.08,0.0015018280660690584,10.13,0.025384109124028345,0.013000000000000077,10.0,0.44101184639677427,5.0,34.01269177360066,2.0,True,0.5
4,1.0,0.05,9.47077193141486,9.445749875649993,9.46,0.0011373868458524634,15.01,0.00584292525725323,0.0006666666666666524,15.0,0.588015795195699,5.0,34.01269177360066,0.5,True,0.5
4,1.0,0.05,9.47077193141486,9.445749875649993,9.46,0.0011373868458524634,15.01,0.00584292525725323,0.0006666666666666524,15.0,0.588015795195699,5.0,34.01269177360066,1.0,True,0.5
4,1.0,0.05,9.47077193141486,9.445749875649993,9.46,0.0011373868458524634,15.01,0.00584292525725323,0.0006666666666666524,15.0,0.588015795195699,5.0,34.01269177360066,2.0,True,0.5
4,1.0,0.3,9.596543870199321,9.445749875649993,9.59,0.0006818986384923718,15.13,0.03370332076894489,0.008666666666666718,15.0,0.588015795195699,5.0,34.01269177360066,0.5,True,0.5
4,1.0,0.3,9.596543870199321,9.445749875649993,9.59,0.0006818986384923718,15.13,0.03370332076894489,0.008666666666666718,15.0,0.588015795195699,5.0,34.01269177360066,1.0,True,0.5
4,1.0,0.3,9.596543870199321,9.445749875649993,9.59,0.0006818986384923718,15.13,0.03370332076894489,0.008666666666666718,15.0,0.588015795195699,5.0,34.01269177360066,2.0,True,0.5
2,1.0,0.05,6.322199667394217,6.297166583766662,6.3100000000000005,0.0019296555053669238,10.01,0.0029307560090503144,0.0009999999999999788,10.0,0.588015795195699,10.0,34.01269177360066,0.5,True,0.5
2,1.0,0.05,6.322199667394217,6.297166583766662,6.3100000000000005,0.0019296555053669238,10.01,0.0029307560090503144,0.0009999999999999788,10.0,0.588015795195699,10.0,34.01269177360066,1.0,True,0.5
2,1.0,0.05,6.322199667394217,6.297166583766662,6.3100000000000005,0.0019296555053669238,10.01,0.0029307560090503144,0.0009999999999999788,10.0,0.588015795195699,10.0,34.01269177360066,2.0,True,0.5
2,1.0,0.3,6.448357550563185,6.297166583766662,6.44,0.0012960743100318029,10.13,0.01724023665133718,0.013000000000000077,10.0,0.588015795195699,10.0,34.01269177360066,0.5,True,0.5
2,1.0,0.3,6.448357550563185,6.297166583766662,6.44,0.0012960743100318029,10.13,0.01724023665133718,0.013000000000000077,10.0,0.588015795195699,10.0,34.01269177360066,1.0,True,0.5
2,1.0,0.3,6.448357550563185,6.297166583766662,6.44,0.0012960743100318029,10.13,0.01724023665133718,0.013000000000000077,10.0,0.588015795195699,10.0,34.01269177360066,2.0,True,0.5
3,1.0,0.05,10.65187838231704,10.626858777911215,10.64,0.0011151443802398919,20.01,0.0043935497811013096,0.0005000000000000782,20.0,0.8820236927935485,10.0,34.01269177360066,0.5,True,0.5
3,1.0,0.05,10.65187838231704,10.626858777911215,10.64,0.0011151443802398919,20.01,0.0043935497811013096,0.0005000000000000782,20.0,0.8820236927935485,10.0,34.01269177360066,1.0,True,0.5
3,1.0,0.05,10.65187838231704,10.626858777911215,10.64,0.0011151443802398919,20.01,0.0043935497811013096,0.0005000000000000782,20.0,0.8820236927935485,10.0,34.01269177360066,2.0,True,0.5
3,1.0,0.3,10.777564527421893,10.626858777911215,10.77,0.0007018772564660942,20.1,0.025751139794664694,0.005000000000000071,20.0,0.8820236927935485,10.0,34.01269177360066,0.5,True,0.5
3,1.0,0.3,10.777564527421893,10.626858777911215,10.77,0.0007018772564660942,20.1,0.025751139794664694,0.005000000000000071,20.0,0.8820236927935485,10.0,34.01269177360066,1.0,True,0.5
3,1.0,0.3,10.777564527421893,10.626858777911215,10.77,0.0007018772564660942,20.1,0.025751139794664694,0.005000000000000071,20.0,0.8820236927935485,10.0,34.01269177360066,2.0,True,0.5
4,1.0,0.05,13.811579668786205,13.786564557458455,13.8,0.000838402924494883,30.0,0.005854622758906136,0.0,30.0,1.176031590391398,10.0,34.01269177360066,0.5,True,0.5
4,1.0,0.05,13.811579668786205,13.786564557458455,13.8,0.000838402924494883,30.0,0.005854622758906136,0.0,30.0,1.176031590391398,10.0,34.01269177360066,1.0,True,0.5
4,1.0,0.05,13.811579668786205,13.786564557458455,13.8,0.000838402924494883,30.0,0.005854622758906136,0.0,30.0,1.176031590391398,10.0,34.01269177360066,2.0,True,0.5
4,1.0,0.3,13.93710856106301,13.786564557458455,13.93,0.0005100456118186224,30.03,0.03419002742199917,0.001000000000000038,30.0,1.176031590391398,10.0,34.01269177360066,0.5,True,0.5
4,1.0,0.3,13.93710856106301,13.786564557458455,13.93,0.0005100456118186224,30.03,0.03419002742199917,0.001000000000000038,30.0,1.176031590391398,10.0,34.01269177360066,1.0,True,0.5
4,1.0,0.3,13.93710856106301,13.786564557458455,13.93,0.0005100456118186224,30.03,0.03419002742199917,0.001000000000000038,30.0,1.176031590391398,10.0,34.01269177360066,2.0,True,0.5
2,1.0,0.05,9.216065705289568,9.191043038305637,9.21,0.0006581664544866819,20.01,0.0029336882282664112,0.0005000000000000782,20.0,1.176031590391398,20.0,34.01269177360066,0.5,True,0.5
2,1.0,0.05,9.216065705289568,9.191043038305637,9.21,0.0006581664544866819,20.01,0.0029336882282664112,0.0005000000000000782,20.0,1.176031590391398,20.0,34.01269177360066,1.0,True,0.5
2,1.0,0.05,9.216065705289568,9.191043038305637,9.21,0.0006581664544866819,20.01,0.0029336882282664112,0.0005000000000000782,20.0,1.176031590391398,20.0,34.01269177360066,2.0,True,0.5
2,1.0,0.3,9.341859035662692,9.191043038305637,9.33,0.001269451360528959,20.1,0.01736497914827542,0.005000000000000071,20.0,1.176031590391398,20.0,34.01269177360066,0.5,True,0.5
2,1.0,0.3,9.341859035662692,9.191043038305637,9.33,0.001269451360528959,20.1,0.01736497914827542,0.005000000000000071,20.0,1.176031590391398,20.0,34.01269177360066,1.0,True,0.5
2,1.0,0.3,9.341859035662692,9.191043038305637,9.33,0.001269451360528959,20.1,0.01736497914827542,0.005000000000000071,20.0,1.176031590391398,20.0,34.01269177360066,2.0,True,0.5
3,1.0,0.05,14.496546327324088,14.471531931245746,14.49,0.0004515784088344566,39.980000000000004,0.0043979455224791375,0.0004999999999999005,40.0,1.764047385587097,20.0,34.01269177360066,0.5,True,0.5
3,1.0,0.05,14.496546327324088,14.471531931245746,14.49,0.0004515784088344566,39.980000000000004,0.0043979455224791375,0.0004999999999999005,40.0,1.764047385587097,20.0,34.01269177360066,1.0,True,0.5
3,1.0,0.05,14.496546327324088,14.471531931245746,14.49,0.0004515784088344566,39.980000000000004,0.0043979455224791375,0.0004999999999999005,40.0,1.764047385587097,20.0,34.01269177360066,2.0,True,0.5
